distribution;sample_credible_set
Height (LogNormal), Ratios (LogitNormal);0.9808
Height (LogNormal), Ratios (LogitNormal);0.3317
Height (LogNormal), Ratios (LogitNormal);0.01990000000000003
Height (LogNormal), Ratios (LogitNormal);0.19910000000000005
Height (LogNormal), Ratios (LogitNormal);0.5851999999999999
Height (LogNormal), Ratios (LogitNormal);0.4992
Height (LogNormal), Ratios (LogitNormal);0.9854
Height (LogNormal), Ratios (LogitNormal);0.6925
Height (LogNormal), Ratios (LogitNormal);0.3843
Height (LogNormal), Ratios (LogitNormal);0.2056
Height (LogNormal), Ratios (LogitNormal);0.23229999999999995
Height (LogNormal), Ratios (LogitNormal);0.03420000000000001
Height (LogNormal), Ratios (LogitNormal);0.15849999999999997
Height (LogNormal), Ratios (LogitNormal);0.9215
Height (LogNormal), Ratios (LogitNormal);0.48839999999999995
Height (LogNormal), Ratios (LogitNormal);0.1291
Height (LogNormal), Ratios (LogitNormal);0.41900000000000004
Height (LogNormal), Ratios (LogitNormal);0.5101
Height (LogNormal), Ratios (LogitNormal);0.32120000000000004
Height (LogNormal), Ratios (LogitNormal);0.04300000000000004
Height (LogNormal), Ratios (LogitNormal);0.09150000000000003
Height (LogNormal), Ratios (LogitNormal);0.026499999999999968
Height (LogNormal), Ratios (LogitNormal);0.2801
Height (LogNormal), Ratios (LogitNormal);0.594
Height (LogNormal), Ratios (LogitNormal);0.5225
Height (LogNormal), Ratios (LogitNormal);0.9214
Height (LogNormal), Ratios (LogitNormal);0.2563
Height (LogNormal), Ratios (LogitNormal);0.5077
Height (LogNormal), Ratios (LogitNormal);0.4927
Height (LogNormal), Ratios (LogitNormal);0.10309999999999997
Height (LogNormal), Ratios (LogitNormal);0.06620000000000004
Height (LogNormal), Ratios (LogitNormal);0.45609999999999995
Height (LogNormal), Ratios (LogitNormal);0.2128
Height (LogNormal), Ratios (LogitNormal);0.12980000000000003
Height (LogNormal), Ratios (LogitNormal);0.11509999999999998
Height (LogNormal), Ratios (LogitNormal);0.4927
Height (LogNormal), Ratios (LogitNormal);0.8132
Height (LogNormal), Ratios (LogitNormal);0.49150000000000005
Height (LogNormal), Ratios (LogitNormal);0.525
Height (LogNormal), Ratios (LogitNormal);0.6304000000000001
Height (LogNormal), Ratios (LogitNormal);0.3599
Height (LogNormal), Ratios (LogitNormal);0.9998
Height (LogNormal), Ratios (LogitNormal);0.47909999999999997
Height (LogNormal), Ratios (LogitNormal);0.769
Height (LogNormal), Ratios (LogitNormal);0.3659
Height (LogNormal), Ratios (LogitNormal);0.7873
Height (LogNormal), Ratios (LogitNormal);0.34940000000000004
Height (LogNormal), Ratios (LogitNormal);0.4897
Height (LogNormal), Ratios (LogitNormal);0.1946
Height (LogNormal), Ratios (LogitNormal);0.08099999999999996
Height (LogNormal), Ratios (LogitNormal);0.9927
Height (LogNormal), Ratios (LogitNormal);0.9266
Height (LogNormal), Ratios (LogitNormal);0.25149999999999995
Height (LogNormal), Ratios (LogitNormal);0.26780000000000004
Height (LogNormal), Ratios (LogitNormal);0.5388999999999999
Height (LogNormal), Ratios (LogitNormal);0.2923
Height (LogNormal), Ratios (LogitNormal);0.6149
